1,24,1
1,30,1
1,35,1
1,45,1
1,86,1
1,88,1
1,131,1
1,132,1
1,136,1
1,156,1
1,162,1
1,165,1
1,166,1
1,171,1
1,177,1
1,198,1
1,227,1
1,229,1
1,235,1
1,243,1
1,256,1
1,292,1
1,296,1
1,317,1
1,322,1
1,348,1
1,378,1
1,397,1
1,404,1
1,434,1
1,441,1
1,442,1
1,449,1
1,461,1
1,468,1
1,490,1
1,511,1
1,524,1
1,554,1
1,559,1
1,572,1
1,583,1
1,586,1
1,602,1
1,610,1
1,628,1
1,645,1
1,650,1
1,657,1
1,670,1
1,673,1
1,680,1
1,684,1
1,703,1
1,704,1
1,730,1
1,759,1
1,760,1
1,761,1
1,784,1
1,793,1
1,798,1
1,811,1
1,862,1
1,865,1
1,898,1
1,918,1
1,921,1
1,947,1
1,951,1
1,954,1
1,1012,1
1,1015,1
1,1033,1
1,1062,1
1,1082,1
1,1092,1
1,1095,1
1,30,1
1,37,1
1,61,1
1,73,1
1,88,1
1,103,1
1,105,1
1,108,1
1,131,1
1,136,1
1,158,1
1,177,1
1,196,1
1,198,1
1,229,1
1,235,1
1,249,1
1,254,1
1,269,1
1,331,1
1,357,1
1,397,1
1,415,1
1,424,1
1,431,1
1,434,1
1,474,1
1,490,1
1,554,1
1,586,1
1,599,1
1,628,1
1,657,1
1,673,1
1,680,1
1,703,1
1,704,1
1,730,1
1,734,1
1,761,1
1,772,1
1,793,1
1,798,1
1,836,1
1,884,1
1,914,1
1,918,1
1,946,1
1,983,1
1,1004,1
1,1013,1
1,1039,1
1,1092,1
1,1104,1
